turn,algorithm,hits,originDatabase,originAlgorithm,minTile,maxTile,minBoardValue,maxBoardValue,sumBoardValue,minBoardScore,maxBoardScore,sumBoardScore
1,all,318930,291153,27777,2,8,2,12,2105566,0,8,363232
1,treeDb_first,53155,48413,4742,2,8,2,12,350974,0,8,66668
1,treeDb_firstlastmaxtile,53155,48443,4712,2,8,2,12,350880,0,8,67156
1,treeDb_firstlastprogress,53155,48702,4453,2,8,2,12,350854,0,8,47316
1,treeDb_followMaxTile,53155,48425,4730,2,8,2,12,351092,0,8,66836
1,treeDb_followProgress,53155,48648,4507,2,8,2,12,351016,0,8,48068
1,treeDb_last,53155,48522,4633,2,8,2,12,350750,0,8,67188
2,all,318918,273876,45042,2,8,4,16,2807360,0,12,1055184
2,treeDb_first,53153,45925,7228,2,8,4,16,467840,0,12,176940
2,treeDb_firstlastmaxtile,53153,44928,8225,2,8,4,16,467534,0,12,178092
2,treeDb_firstlastprogress,53153,46151,7002,2,8,4,16,467912,0,12,172328
2,treeDb_followMaxTile,53153,44824,8329,2,8,4,16,468084,0,12,178120
2,treeDb_followProgress,53153,46183,6970,2,8,4,14,468038,0,12,172424
2,treeDb_last,53153,45865,7288,2,8,4,16,467952,0,12,177280
3,all,318887,269849,49038,2,8,6,20,3509224,0,16,1439312
3,treeDb_first,53148,44977,8171,2,8,6,18,584756,0,16,239908
3,treeDb_firstlastmaxtile,53147,44919,8228,2,8,6,20,584440,0,16,242048
3,treeDb_firstlastprogress,53148,45189,7959,2,8,6,20,584976,0,16,237012
3,treeDb_followMaxTile,53148,44863,8285,2,8,6,20,585284,0,16,241784
3,treeDb_followProgress,53149,45022,8127,2,8,6,18,584768,0,12,237520
3,treeDb_last,53147,44879,8268,2,8,6,20,585000,0,12,241040
4,all,318864,249561,69303,2,16,8,24,4209794,0,32,2458128
4,treeDb_first,53144,41782,11362,2,16,8,22,701466,0,32,410476
4,treeDb_firstlastmaxtile,53144,41343,11801,2,16,8,22,701372,0,32,412864
4,treeDb_firstlastprogress,53144,41800,11344,2,8,8,22,701842,0,20,404720
4,treeDb_followMaxTile,53144,41437,11707,2,16,8,22,701990,0,32,412992
4,treeDb_followProgress,53144,41605,11539,2,8,8,22,701144,0,20,404704
4,treeDb_last,53144,41594,11550,2,8,8,24,701980,0,20,412372
5,all,318836,279089,39747,2,16,10,26,4910958,0,36,3581656
5,treeDb_first,53139,46459,6680,2,16,10,26,818068,0,36,602084
5,treeDb_firstlastmaxtile,53139,46522,6617,2,16,10,24,818464,0,36,603264
5,treeDb_firstlastprogress,53139,46498,6641,2,16,10,24,818776,0,36,585476
5,treeDb_followMaxTile,53139,46491,6648,2,16,10,24,818726,0,36,603148
5,treeDb_followProgress,53141,46644,6497,2,16,10,24,818034,0,36,583812
5,treeDb_last,53139,46475,6664,2,16,10,26,818890,0,36,603872
6,all,318822,273093,45729,2,16,12,28,5612240,0,44,4766188
6,treeDb_first,53137,45409,7728,2,16,12,28,935028,0,40,800812
6,treeDb_firstlastmaxtile,53137,45787,7350,2,16,12,28,935430,0,40,797544
6,treeDb_firstlastprogress,53137,45358,7779,2,16,12,28,935570,0,40,786412
6,treeDb_followMaxTile,53137,45864,7273,2,16,12,28,935700,0,40,795832
6,treeDb_followProgress,53137,45300,7837,2,16,12,28,935020,0,44,782968
6,treeDb_last,53137,45375,7762,2,16,12,28,935492,0,40,802620
7,all,318789,280809,37980,2,16,14,32,6312802,0,48,5910348
7,treeDb_first,53131,46594,6537,2,16,14,30,1051900,0,48,991648
7,treeDb_firstlastmaxtile,53131,46938,6193,2,16,14,30,1052138,4,48,988480
7,treeDb_firstlastprogress,53132,47013,6119,2,16,14,30,1052326,0,48,977236
7,treeDb_followMaxTile,53132,46835,6297,2,16,14,30,1052398,0,48,986944
7,treeDb_followProgress,53132,46848,6284,2,16,14,30,1051740,0,48,974012
7,treeDb_last,53131,46581,6550,2,16,14,32,1052300,0,48,992028
8,all,318767,275691,43076,2,16,16,36,7014152,4,52,7157764
8,treeDb_first,53127,45865,7262,2,16,16,32,1168664,4,52,1198172
8,treeDb_firstlastmaxtile,53128,45828,7300,2,16,16,32,1168934,4,52,1199296
8,treeDb_firstlastprogress,53128,46153,6975,2,16,16,32,1169176,4,52,1183756
8,treeDb_followMaxTile,53128,45819,7309,2,16,16,34,1169272,4,52,1197736
8,treeDb_followProgress,53128,46083,7045,2,16,16,34,1168906,4,52,1180312
8,treeDb_last,53128,45943,7185,2,16,16,36,1169200,4,52,1198492
9,all,318731,274305,44426,2,16,18,38,7714220,8,56,8624684
9,treeDb_first,53122,45699,7423,2,16,18,36,1285350,8,56,1444824
9,treeDb_firstlastmaxtile,53122,45834,7288,2,16,18,36,1285484,8,56,1451900
9,treeDb_firstlastprogress,53119,45734,7385,2,16,18,36,1285882,8,56,1418488
9,treeDb_followMaxTile,53123,45630,7493,2,16,18,36,1285910,8,56,1450328
9,treeDb_followProgress,53123,45791,7332,2,16,18,36,1285832,8,56,1415444
9,treeDb_last,53122,45617,7505,2,16,18,38,1285762,8,56,1443700
10,all,318653,267618,51035,2,16,20,40,8413104,12,72,10553624
10,treeDb_first,53112,44284,8828,2,16,20,40,1401986,12,60,1768640
10,treeDb_firstlastmaxtile,53111,44939,8172,2,16,20,40,1402176,12,60,1783328
10,treeDb_firstlastprogress,53099,44631,8468,2,16,20,40,1401996,12,60,1728608
10,treeDb_followMaxTile,53115,45004,8111,2,16,20,40,1402508,12,72,1781172
10,treeDb_followProgress,53105,44477,8628,2,16,20,40,1402170,12,60,1723668
10,treeDb_last,53111,44283,8828,2,16,20,40,1402268,12,60,1768208
11,all,318480,260082,58398,2,32,22,44,9108708,16,108,12728604
11,treeDb_first,53096,42937,10159,2,16,22,44,1518412,16,76,2137580
11,treeDb_firstlastmaxtile,53090,44145,8945,2,16,22,44,1518426,16,76,2151376
11,treeDb_firstlastprogress,53049,43029,10020,2,16,22,44,1517188,16,64,2080616
11,treeDb_followMaxTile,53092,44036,9056,2,32,22,44,1518602,16,108,2145400
11,treeDb_followProgress,53060,43041,10019,2,16,22,44,1517470,16,72,2074744
11,treeDb_last,53093,42894,10199,2,16,22,44,1518610,16,64,2138888
12,all,318229,254775,63454,2,32,24,48,9801202,20,108,14955460
12,treeDb_first,53072,42034,11038,2,32,24,48,1634602,24,108,2516876
12,treeDb_firstlastmaxtile,53070,43339,9731,2,32,24,48,1634646,24,108,2521996
12,treeDb_firstlastprogress,52961,42218,10743,2,16,24,48,1631046,24,80,2442952
12,treeDb_followMaxTile,53071,43292,9779,2,32,24,48,1634654,24,108,2518292
12,treeDb_followProgress,52983,42038,10945,2,32,24,48,1631562,24,104,2438156
12,treeDb_last,53072,41854,11218,2,16,24,48,1634692,20,80,2517188
13,all,317814,252843,64971,2,32,26,52,10487252,28,116,17056376
13,treeDb_first,53037,41634,11403,2,32,26,52,1750120,28,116,2871256
13,treeDb_firstlastmaxtile,53030,43097,9933,2,32,26,52,1750072,28,112,2869848
13,treeDb_firstlastprogress,52825,41667,11158,2,16,26,52,1743060,28,84,2789012
13,treeDb_followMaxTile,53040,43056,9984,2,32,26,52,1750412,28,116,2869096
13,treeDb_followProgress,52838,41762,11076,2,32,26,52,1743130,28,112,2785772
13,treeDb_last,53044,41627,11417,2,32,26,52,1750458,28,116,2871392
14,all,317325,241446,75879,2,32,28,56,11169210,32,124,18919804
14,treeDb_first,52995,39793,13202,2,32,28,56,1865190,32,120,3182280
14,treeDb_firstlastmaxtile,52990,41341,11649,2,32,28,56,1865502,32,124,3179332
14,treeDb_firstlastprogress,52672,39623,13049,2,32,28,56,1853842,32,116,3101444
14,treeDb_followMaxTile,52996,41299,11697,2,32,28,56,1865638,32,120,3179852
14,treeDb_followProgress,52670,39729,12941,2,32,28,56,1853504,32,120,3096560
14,treeDb_last,53002,39661,13341,2,32,28,56,1865534,32,120,3180336
15,all,316894,235010,81884,2,32,30,60,11851908,36,128,20578996
15,treeDb_first,52945,38651,14294,2,32,30,60,1979952,36,128,3458984
15,treeDb_firstlastmaxtile,52950,40352,12598,2,32,30,60,1980598,36,128,3457832
15,treeDb_firstlastprogress,52544,38388,14156,2,32,30,60,1964966,36,124,3375048
15,treeDb_followMaxTile,52954,40416,12538,2,32,30,60,1980808,36,124,3458720
15,treeDb_followProgress,52552,38643,13909,2,32,30,60,1965130,36,124,3370904
15,treeDb_last,52949,38560,14389,2,32,30,60,1980454,36,124,3457508
16,all,316473,232458,84015,2,32,32,64,12531506,44,132,22292516
16,treeDb_first,52897,38275,14622,2,32,32,64,2094310,44,132,3745620
16,treeDb_firstlastmaxtile,52897,40107,12790,2,32,32,64,2094748,44,132,3747080
16,treeDb_firstlastprogress,52435,38110,14325,2,32,32,64,2075874,44,128,3651936
16,treeDb_followMaxTile,52900,39938,12962,2,32,32,64,2095144,44,132,3750448
16,treeDb_followProgress,52446,38036,14410,2,32,32,64,2076448,44,128,3649180
16,treeDb_last,52898,37992,14906,2,32,32,64,2094982,44,132,3748252
17,all,315764,227877,87887,2,32,34,68,13196188,48,148,24206776
17,treeDb_first,52803,37396,15407,2,32,34,68,2206624,48,144,4072660
17,treeDb_firstlastmaxtile,52802,39429,13373,2,32,34,68,2207046,48,136,4077184
17,treeDb_firstlastprogress,52262,37253,15009,2,32,34,68,2183416,48,132,3952172
